feature,importance_mean,importance_std
win_rate,0.16140000000000004,0.01564736399525493
ai_parity,0.14820000000000003,0.01707512811079321
integration_prog,0.09500000000000008,0.009602083107326251
security_score,0.08180000000000007,0.013840520221436777
ai_gov_maturity,0.030600000000000026,0.00490306026885251
talent_avail,0.018000000000000016,0.006449806198638846
reg_pipeline_growth,0.013800000000000012,0.0034000000000000033
data_quality,0.013600000000000011,0.0036660605559646754
ot_market_growth,0.009600000000000008,0.0024979991993593614
compliance_complex,0.008600000000000007,0.0036932370625238804
customer_retention,0.005200000000000005,0.0032496153618543867
cloud_cost_var,0.0050000000000000044,0.003255764119219944
org_stability,0.0038000000000000035,0.0022715633383201114
platform_uptime,0.002200000000000002,0.0024413111231467426
cross_sell_conv,0.0014000000000000013,0.0029732137494637035
